gun,1
unarmed,5
toy weapon,5
nail gun,2
knife,2
,0
shovel,2
vehicle,4
hammer,2
hatchet,2
sword,2
machete,2
box cutter,2
undetermined,0
metal object,2
screwdriver,2
lawn mower blade,2
flagpole,3
guns and explosives,1
cordless drill,3
crossbow,1
metal pole,2
Taser,3
metal pipe,2
metal hand tool,2
blunt object,3
metal stick,2
sharp object,2
meat cleaver,2
carjack,3
chain,3
contractor's level,5
unknown weapon,0
stapler,3
beer bottle,3
bean-bag gun,3
baseball bat and fireplace poker,2
straight edge razor,2
gun and knife,1
ax,2
brick,3
baseball bat,2
hand torch,3
chain saw,2
garden tool,2
scissors,2
pole,3
pick-axe,2
flashlight,3
baton,3
spear,2
chair,3
pitchfork,2
hatchet and gun,1
rock,3
piece of wood,3
bayonet,2
pipe,2
glass shard,2
motorcycle,4
pepper spray,3
metal rake,3
crowbar,2
oar,3
machete and gun,1
tire iron,2
air conditioner,3
pole and knife,2
baseball bat and bottle,2
fireworks,3
pen,5
chainsaw,2
gun and sword,1
gun and car,1
pellet gun,3
claimed to be armed,5
BB gun,3
incendiary device,2
samurai sword,2
bow and arrow,1
gun and vehicle,1
vehicle and gun,1
wrench,2
walking stick,3
barstool,5
grenade,1
BB gun and vehicle,4
wasp spray,5
air pistol,3
Airsoft pistol,3
baseball bat and knife,2
vehicle and machete,2
ice pick,2
"car, knife and mace",2
